section,backend,partition,cause,trigger,trigger_source,lag,metric,value,details
design,,,,,,,Dataset coverage,2019-10-01 12:00:00+00:00 to 2019-12-16 23:00:00+00:00 (1826 retained hourly rows),
design,,,,,,,Causal-analysis interval,"[2019-12-02 01:00:00+00:00, 2019-12-13 01:00:00+00:00) (264 h; 7 d before and 4 d after the event hour)",
design,,,,,,,Reference-standardisation interval,"[2019-11-18 01:00:00+00:00, 2019-12-02 01:00:00+00:00); 327/336 h (97.3% coverage)",
design,,,,,,,Whakaari eruption time,2019-12-09 01:11:00+00:00,
design,,,,,,,Effect maximum,2019-12-09 01:00:00+00:00 (-1 days +23:49:00 from event),
design,,,,,,,Minimum interval design,"I1 >= 72 h; minimum-I2 grid = (36, 48, 60, 72) h",
design,,,,,,,Maximum-lag-order design,"d = 1-12 h for HMML, PCMCI, and PCMCI+",
design,,,,,,,PCMCI extension settings,PCMCI pc_alpha=0.2; PCMCI+ graph pc_alpha=0.01; lagged-link alpha=0.05; lagged-link FDR=fdr_bh; PCMCI+ tau=0 links exploratory without BH adjustment; conditional-independence test=robust_parcorr,
design,,,,,,,Unique split partitions,3 unique causal partition(s) from 4 causal minimum-I2 settings; ,
design,,,,,,,Causal run count,108 unique runs after split deduplication (144 rows would be produced without deduplication),
automatic_lag_reference,,,,,,12.0,AIC,12 h,"{""maximum_lag_tested"": 12, ""search_boundary"": true}"
automatic_lag_reference,,,,,,2.0,BIC,2 h,"{""maximum_lag_tested"": 12, ""search_boundary"": false}"
automatic_lag_outcome,HMML (baseline),S1,,,,12.0,AIC,Accepted: Cause: Past-smoothed spectral contrast (4.5–8 / 8–16 Hz); trigger: Hydrothermal RMS (2–5 Hz) [Lagged],"{""minimum_I2_support"": ""[72]"", ""search_boundary"": true}"
automatic_lag_outcome,PCMCI,S1,,,,12.0,AIC,Accepted: Cause: Lagged GNSS deformation change; trigger: Past-smoothed spectral contrast (4.5–8 / 8–16 Hz) [Lagged]; Cause: Past-smoothed spectral contrast (4.5–8 / 8–16 Hz); trigger: Lagged GNSS deformation change [Lagged],"{""minimum_I2_support"": ""[72]"", ""search_boundary"": true}"
automatic_lag_outcome,PCMCI+ with eligible exploratory τ=0 triggers,S1,,,,12.0,AIC,Trigger candidates found; no evaluable moderation model,"{""minimum_I2_support"": ""[72]"", ""search_boundary"": true}"
automatic_lag_outcome,HMML (baseline),S2,,,,12.0,AIC,Accepted: Cause: Past-smoothed spectral contrast (4.5–8 / 8–16 Hz); trigger: Hydrothermal RMS (2–5 Hz) [Lagged],"{""minimum_I2_support"": ""[60]"", ""search_boundary"": true}"
automatic_lag_outcome,PCMCI,S2,,,,12.0,AIC,Trigger candidates found; no evaluable moderation model,"{""minimum_I2_support"": ""[60]"", ""search_boundary"": true}"
automatic_lag_outcome,PCMCI+ with eligible exploratory τ=0 triggers,S2,,,,12.0,AIC,No lagged non-target B2 variables are available to construct V.,"{""minimum_I2_support"": ""[60]"", ""search_boundary"": true}"
automatic_lag_outcome,HMML (baseline),S3,,,,12.0,AIC,Accepted: Cause: Hydrothermal RMS (2–5 Hz); trigger: Past-smoothed spectral contrast (4.5–8 / 8–16 Hz) [Lagged],"{""minimum_I2_support"": ""[36, 48]"", ""search_boundary"": true}"
