section,backend,partition,cause,trigger,trigger_source,lag,metric,value,details
design,,,,,,,Dataset coverage,2019-10-01 12:00:00+00:00 to 2019-12-16 23:00:00+00:00 (1826 retained hourly rows),
design,,,,,,,Causal-analysis interval,"[2019-12-02 01:00:00+00:00, 2019-12-12 01:00:00+00:00) (240 h; 7 d before and 3 d after the event hour)",
design,,,,,,,Reference-standardisation interval,"[2019-11-18 01:00:00+00:00, 2019-12-02 01:00:00+00:00); 327/336 h (97.3% coverage)",
design,,,,,,,Whakaari eruption time,2019-12-09 01:11:00+00:00,
design,,,,,,,Effect maximum,2019-12-09 01:00:00+00:00 (-1 days +23:49:00 from event),
design,,,,,,,Minimum interval design,"I1 >= 72 h; minimum-I2 grid = (24, 36, 48) h",
design,,,,,,,Maximum-lag-order design,"d = 1-12 h for HMML, PCMCI, and PCMCI+",
design,,,,,,,Unique split partitions,3 unique causal partition(s) from 3 causal minimum-I2 settings; ,
design,,,,,,,Causal run count,108 unique runs after split deduplication (108 rows would be produced without deduplication),
automatic_lag_reference,,,,,,12.0,AIC,12 h,"{""maximum_lag_tested"": 12, ""search_boundary"": true}"
automatic_lag_reference,,,,,,2.0,BIC,2 h,"{""maximum_lag_tested"": 12, ""search_boundary"": false}"
automatic_lag_outcome,HMML (baseline),S1,,,,12.0,AIC,Moderation tested; none accepted (minimum p=0.274),"{""minimum_I2_support"": ""[48]"", ""search_boundary"": true}"
automatic_lag_outcome,PCMCI,S1,,,,12.0,AIC,No lagged non-target B2 variables are available to construct V.,"{""minimum_I2_support"": ""[48]"", ""search_boundary"": true}"
automatic_lag_outcome,PCMCI+ with eligible τ=0 triggers,S1,,,,12.0,AIC,Trigger candidates found; no accepted moderation result,"{""minimum_I2_support"": ""[48]"", ""search_boundary"": true}"
automatic_lag_outcome,HMML (baseline),S2,,,,12.0,AIC,No lagged non-target B2 variables are available to construct V.,"{""minimum_I2_support"": ""[36]"", ""search_boundary"": true}"
automatic_lag_outcome,PCMCI,S2,,,,12.0,AIC,Accepted: Pressure drop → Past-smoothed spectral contrast (4.5–8 / 8–16 Hz) [Lagged]; Past-smoothed spectral contrast (4.5–8 / 8–16 Hz) → Pressure drop [Lagged],"{""minimum_I2_support"": ""[36]"", ""search_boundary"": true}"
automatic_lag_outcome,PCMCI+ with eligible τ=0 triggers,S2,,,,12.0,AIC,No lagged non-target B2 variables are available to construct V.,"{""minimum_I2_support"": ""[36]"", ""search_boundary"": true}"
automatic_lag_outcome,HMML (baseline),S3,,,,12.0,AIC,Trigger candidates found; no accepted moderation result,"{""minimum_I2_support"": ""[24]"", ""search_boundary"": true}"
